SimTime,Lat,Lon,Alt,qw,qx,qy,qz,Vx,Vy,Vz
139.06,39.4786412,-0.3463288,50.13,0.7,0.0,-0.0,0.7,-0.0,-0.03,0.01
139.1,39.4786412,-0.3463288,50.13,0.7,0.0,-0.0,0.7,-0.0,-0.03,0.01
139.13,39.4786412,-0.3463288,50.13,0.7,0.0,-0.0,0.7,-0.0,-0.03,0.01
139.16,39.4786412,-0.3463288,50.13,0.7,0.0,-0.0,0.7,-0.0,-0.03,0.01
139.19,39.4786412,-0.3463288,50.13,0.7,0.0,-0.0,0.7,-0.0,-0.03,0.01
139.22,39.4786412,-0.3463288,50.13,0.7,0.0,-0.0,0.7,-0.0,-0.03,0.01
139.26,39.4786412,-0.3463288,50.13,0.7,0.0,-0.0,0.7,-0.0,-0.03,0.01
139.3,39.4786412,-0.3463287,50.13,0.7,0.0,-0.0,0.7,-0.0,-0.03,0.01
139.33,39.4786412,-0.3463287,50.13,0.7,0.0,-0.0,0.7,-0.0,-0.03,0.01
139.36,39.4786412,-0.3463287,50.13,0.7,0.0,-0.0,0.7,-0.0,-0.03,0.01
139.39,39.4786412,-0.3463287,50.13,0.7,0.0,-0.0,0.7,-0.0,-0.02,0.01
139.42,39.4786412,-0.3463287,50.13,0.7,0.0,-0.0,0.7,-0.0,-0.02,0.01
139.46,39.4786412,-0.3463287,50.13,0.7,0.0,-0.0,0.7,-0.0,-0.02,0.01
139.5,39.4786412,-0.3463287,50.13,0.7,0.0,-0.0,0.7,-0.0,-0.02,0.02
139.53,39.4786412,-0.3463287,50.13,0.7,0.0,-0.0,0.7,-0.0,-0.02,0.02
139.56,39.4786412,-0.3463287,50.13,0.7,0.0,-0.0,0.7,-0.0,-0.03,0.02
139.59,39.4786412,-0.3463287,50.13,0.7,0.0,-0.0,0.7,-0.0,-0.03,0.02
139.62,39.4786412,-0.3463287,50.13,0.7,0.0,-0.0,0.7,-0.0,-0.03,0.02
139.66,39.4786412,-0.3463287,50.13,0.7,0.0,-0.0,0.7,-0.0,-0.02,0.02
139.7,39.4786412,-0.3463287,50.13,0.7,0.0,-0.0,0.7,-0.0,-0.02,0.02
139.73,39.4786412,-0.3463287,50.13,0.7,0.0,-0.0,0.7,-0.0,-0.03,0.02
139.76,39.4786412,-0.3463287,50.13,0.7,0.0,-0.0,0.7,-0.0,-0.03,0.02
139.79,39.4786412,-0.3463287,50.13,0.7,0.0,-0.0,0.7,-0.0,-0.03,0.02
139.82,39.4786412,-0.3463287,50.13,0.7,0.0,-0.0,0.7,-0.0,-0.03,0.02
139.86,39.4786412,-0.3463287,50.12,0.7,0.0,-0.0,0.7,-0.0,-0.03,0.02
139.9,39.4786412,-0.3463287,50.12,0.7,0.0,-0.0,0.7,-0.0,-0.03,0.02
139.93,39.4786412,-0.3463287,50.12,0.7,0.0,-0.0,0.7,-0.0,-0.03,0.02
139.96,39.4786412,-0.3463287,50.12,0.7,0.0,-0.0,0.7,-0.0,-0.03,0.02
139.99,39.4786412,-0.3463287,50.12,0.7,0.0,-0.0,0.7,-0.0,-0.03,0.03
140.02,39.4786412,-0.3463287,50.12,0.7,0.0,-0.0,0.7,-0.0,-0.03,0.03
140.06,39.4786412,-0.3463287,50.12,0.7,0.0,-0.0,0.7,-0.0,-0.03,0.03
140.1,39.4786412,-0.3463287,50.12,0.7,0.0,-0.0,0.7,-0.0,-0.03,0.03
140.13,39.4786412,-0.3463287,50.12,0.7,0.0,-0.0,0.7,-0.0,-0.03,0.03
140.16,39.4786412,-0.3463287,50.12,0.7,0.0,-0.0,0.7,-0.0,-0.03,0.03
140.19,39.4786412,-0.3463287,50.12,0.7,0.0,-0.0,0.7,-0.0,-0.03,0.03
140.22,39.4786412,-0.3463287,50.11,0.7,0.0,-0.0,0.7,-0.0,-0.03,0.03
140.26,39.4786412,-0.3463287,50.11,0.7,0.0,-0.0,0.7,-0.0,-0.03,0.03
140.3,39.4786412,-0.3463287,50.11,0.7,0.0,-0.0,0.7,-0.0,-0.03,0.03
140.33,39.4786412,-0.3463287,50.11,0.7,0.0,-0.0,0.7,-0.0,-0.03,0.03
140.36,39.4786412,-0.3463288,50.11,0.7,0.0,-0.0,0.7,-0.0,-0.03,0.03
140.39,39.4786412,-0.3463288,50.11,0.7,0.0,-0.0,0.7,-0.0,-0.03,0.03
140.42,39.4786412,-0.3463287,50.11,0.7,0.0,-0.0,0.7,-0.0,-0.03,0.04
140.46,39.4786412,-0.3463287,50.11,0.7,0.0,-0.0,0.7,-0.0,-0.03,0.04
140.5,39.4786412,-0.3463287,50.11,0.7,0.0,-0.0,0.7,-0.0,-0.03,0.04
140.53,39.4786412,-0.3463287,50.11,0.7,0.0,-0.0,0.7,-0.0,-0.03,0.04
140.56,39.4786412,-0.3463287,50.1,0.7,0.0,-0.0,0.7,-0.0,-0.03,0.04
140.59,39.4786412,-0.3463287,50.1,0.7,0.0,-0.0,0.7,-0.0,-0.03,0.04
140.62,39.4786412,-0.3463287,50.1,0.7,0.0,-0.0,0.7,-0.0,-0.03,0.04
140.66,39.4786412,-0.3463287,50.1,0.7,0.0,-0.0,0.7,-0.0,-0.03,0.04
140.7,39.4786412,-0.3463287,50.1,0.7,0.0,-0.0,0.7,0.0,-0.03,0.04
140.73,39.4786412,-0.3463287,50.1,0.7,0.0,-0.0,0.7,0.0,-0.03,0.04
140.76,39.4786412,-0.3463287,50.1,0.7,0.0,-0.0,0.7,0.0,-0.03,0.04
140.79,39.4786412,-0.3463287,50.1,0.7,0.0,-0.0,0.7,0.0,-0.03,0.04
140.82,39.4786412,-0.3463287,50.1,0.7,0.0,-0.0,0.7,0.0,-0.03,0.04
140.86,39.4786412,-0.3463287,50.09,0.7,0.0,-0.0,0.7,0.0,-0.03,0.04
140.9,39.4786412,-0.3463287,50.09,0.7,0.0,-0.0,0.7,0.0,-0.03,0.05
140.93,39.4786412,-0.3463287,50.09,0.7,0.0,-0.0,0.7,0.0,-0.03,0.05
140.96,39.4786412,-0.3463287,50.09,0.7,0.0,-0.0,0.7,0.0,-0.03,0.05
140.99,39.4786412,-0.3463287,50.09,0.7,0.0,-0.0,0.7,0.0,-0.03,0.05
141.02,39.4786412,-0.3463287,50.09,0.7,0.0,-0.0,0.7,0.0,-0.03,0.05
141.06,39.4786412,-0.3463287,50.09,0.7,0.0,-0.0,0.7,0.0,-0.03,0.05
141.1,39.4786412,-0.3463287,50.09,0.7,0.0,-0.0,0.7,0.0,-0.03,0.05
141.13,39.4786412,-0.3463287,50.08,0.7,0.0,-0.0,0.7,0.0,-0.03,0.05
141.16,39.4786412,-0.3463287,50.08,0.7,0.0,-0.0,0.7,0.0,-0.03,0.05
141.19,39.4786412,-0.3463287,50.08,0.7,0.0,-0.0,0.7,0.0,-0.03,0.05
141.22,39.4786412,-0.3463287,50.08,0.7,0.0,-0.0,0.7,0.0,-0.03,0.05
141.26,39.4786412,-0.3463287,50.08,0.7,0.0,-0.0,0.7,0.0,-0.03,0.06
141.3,39.4786412,-0.3463287,50.08,0.7,0.0,-0.0,0.7,0.0,-0.03,0.06
141.33,39.4786412,-0.3463287,50.08,0.7,0.0,-0.0,0.7,0.0,-0.03,0.06
141.36,39.4786412,-0.3463287,50.08,0.7,0.0,-0.0,0.7,0.0,-0.03,0.06
141.39,39.4786412,-0.3463287,50.08,0.7,0.0,-0.0,0.7,0.0,-0.03,0.06
141.42,39.4786412,-0.3463287,50.07,0.7,0.0,-0.0,0.7,0.0,-0.03,0.06
141.46,39.4786412,-0.3463287,50.07,0.7,0.0,-0.0,0.7,0.0,-0.03,0.06
141.5,39.4786412,-0.3463287,50.07,0.7,0.0,-0.0,0.7,0.0,-0.03,0.06
141.53,39.4786412,-0.3463287,50.07,0.7,0.0,-0.0,0.7,0.0,-0.03,0.06
141.56,39.4786412,-0.3463288,50.07,0.7,0.0,-0.0,0.7,0.0,-0.03,0.06
141.59,39.4786412,-0.3463288,50.07,0.7,0.0,-0.0,0.7,0.0,-0.03,0.06
141.62,39.4786412,-0.3463287,50.06,0.7,0.0,-0.0,0.7,0.0,-0.03,0.06
141.66,39.4786412,-0.3463287,50.06,0.7,0.0,-0.0,0.7,0.0,-0.03,0.06
141.7,39.4786412,-0.3463287,50.06,0.7,0.0,-0.0,0.7,0.0,-0.03,0.06
141.73,39.4786412,-0.3463287,50.06,0.7,0.0,-0.0,0.7,0.0,-0.03,0.05
141.76,39.4786412,-0.3463287,50.06,0.7,0.0,-0.0,0.7,0.0,-0.04,0.04
141.79,39.4786412,-0.3463287,50.06,0.7,0.0,-0.0,0.7,-0.0,-0.04,0.03
141.82,39.4786412,-0.3463287,50.06,0.7,0.0,-0.0,0.7,-0.0,-0.04,0.01
141.86,39.4786412,-0.3463287,50.06,0.7,0.0,0.0,0.7,-0.01,-0.05,-0.01
141.9,39.4786412,-0.3463288,50.06,0.7,0.0,0.0,0.7,-0.01,-0.05,-0.03
141.93,39.4786412,-0.3463288,50.06,0.7,0.0,0.0,0.7,-0.01,-0.06,-0.05
141.96,39.4786412,-0.3463288,50.07,0.7,-0.0,0.0,0.7,-0.02,-0.07,-0.07
141.99,39.4786412,-0.3463288,50.07,0.7,-0.0,0.0,0.7,-0.03,-0.08,-0.09
142.02,39.4786411,-0.3463288,50.07,0.7,-0.0,0.0,0.7,-0.03,-0.09,-0.12
142.06,39.4786411,-0.3463288,50.08,0.7,0.0,0.0,0.7,-0.04,-0.1,-0.15
142.1,39.4786411,-0.3463289,50.08,0.7,0.0,0.0,0.7,-0.05,-0.11,-0.18
142.13,39.4786411,-0.3463289,50.09,0.7,0.0,0.0,0.7,-0.05,-0.11,-0.21
142.16,39.4786411,-0.3463289,50.1,0.7,0.0,0.0,0.7,-0.05,-0.12,-0.24
142.19,39.4786411,-0.346329,50.11,0.7,0.0,0.0,0.7,-0.06,-0.12,-0.27
142.22,39.4786411,-0.346329,50.12,0.7,0.0,0.0,0.7,-0.06,-0.13,-0.3
142.26,39.478640999999996,-0.3463291,50.13,0.7,0.0,-0.0,0.7,-0.06,-0.13,-0.34
142.3,39.478640999999996,-0.3463291,50.14,0.7,0.0,-0.0,0.7,-0.06,-0.13,-0.37
142.33,39.478640999999996,-0.3463292,50.16,0.7,0.0,-0.0,0.7,-0.06,-0.13,-0.4
142.36,39.478640999999996,-0.3463292,50.17,0.7,0.0,-0.0,0.7,-0.06,-0.13,-0.43
142.39,39.478640999999996,-0.3463292,50.18,0.7,0.0,-0.0,0.7,-0.06,-0.13,-0.46
142.42,39.478640899999995,-0.3463293,50.2,0.7,0.0,-0.0,0.7,-0.06,-0.13,-0.49
142.46,39.478640899999995,-0.3463293,50.22,0.7,0.0,-0.0,0.7,-0.06,-0.12,-0.53
142.5,39.478640899999995,-0.3463293,50.23,0.7,0.0,-0.0,0.7,-0.06,-0.12,-0.56
142.53,39.478640899999995,-0.3463294,50.26,0.7,0.0,-0.0,0.7,-0.06,-0.12,-0.59
142.56,39.478640899999995,-0.3463294,50.28,0.7,0.0,-0.0,0.7,-0.06,-0.11,-0.61
142.59,39.478640899999995,-0.3463294,50.29,0.7,0.0,-0.0,0.7,-0.05,-0.11,-0.64
142.62,39.4786408,-0.3463294,50.32,0.7,0.0,-0.0,0.7,-0.05,-0.11,-0.67
